RECORDID,gold_labels,compound_by_article,average_sentence,median_sentence,mode_sentence,pstd_sentence,average_paragraph,median_paragraph,mode_paragraph,pstd_paragraph,avg_first_last_para
20200415-98953,1,0.9891,0.22224333333333332,0.0,0.0,0.29224412932037186,0.3693,0.27155,0.0,0.37019022716127215,0.0
20200819-66499,-1,0.9404,0.04122307692307692,0.0,0.0,0.2607880428884911,0.12767058823529412,0.0772,0.0,0.33754936852817785,0.2042
20200719-23353,-1,0.9395,0.06561111111111112,0.0,0.0,0.4051983340002069,0.08886666666666668,0.0,0.0,0.47381882379004087,0.0
20200512-66277,0,-0.5994,-0.09182222222222224,-0.2732,-0.3612,0.3745958615710708,-0.1061857142857143,-0.3612,-0.3612,0.4418326620163903,-0.3612
20200608-21505,-1,-0.994,-0.20496470588235294,0.0,0.0,0.3903693634633689,-0.1870857142857143,0.0,0.0,0.42310086074994807,0.5106
20200716-94054,1,-0.7013,-0.03070384615384614,0.0,0.0,0.45733440591252367,-0.02837499999999999,0.0,0.0,0.45092440538853074,0.5106
20200725-4063,-1,0.9881,0.16296666666666668,0.0772,0.0,0.36134702267162905,0.16296666666666668,0.0772,0.0,0.36134702267162905,0.3637
20200503-6369,0,0.8442,0.05919090909090909,0.0,0.0,0.2553219320941005,0.08588888888888889,0.0,0.0,0.401627205376784,-0.4939
20200415-60628,-1,-0.9792,-0.06210566037735849,0.0,0.0,0.27233931902121894,-0.15095652173913043,0.0,0.0,0.3962451237676507,0.5106
20200315-51564,1,0.9431,0.122956,0.1124,0.0,0.40628360447352535,0.14068666666666665,0.0,0.0,0.5005024193969718,0.7011
20200727-57751,1,0.9934,0.34350714285714284,0.35875,0.0,0.39196156966192075,0.39585384615384617,0.4995,0.0,0.40419762800541903,-0.4995
20200514-20325,-1,0.9331,0.2042578947368421,0.0,0.0,0.35514833863848094,0.33018000000000003,0.29375,0.0,0.33176098263659637,0.2263
20200320-93685,-1,0.9781,0.10676153846153846,0.0,0.0,0.3266852532248069,0.17259230769230768,0.25,0.0,0.37500849418387733,0.5106
20200617-4920,1,0.9989,0.19206666666666666,0.0,0.0,0.38264375469427947,0.34088235294117647,0.1779,0.0,0.5038543326320721,0.8934
20200515-45485,-1,-0.8148,-0.09197777777777777,0.0,0.0,0.37912615103031566,-0.057333333333333326,0.0,0.0,0.5187523563534167,0.5106
20200904-49443,1,0.9988,0.25125641025641027,0.128,0.0,0.3306770054692163,0.53168125,0.6483,0.6369,0.3417649689822488,0.6369
20200728-58718,1,0.9501,0.050495652173913046,0.0,0.0,0.2503250434383279,0.11043125,0.0,0.0,0.36830312196401144,0.0
20200504-51577,1,0.9899,0.13374814814814814,0.0,0.0,0.26882686617608015,0.2516923076923077,0.1901,0.0,0.3631519865365516,0.5106
20200320-46025,-1,-0.9935,-0.20793478260869563,-0.1823,0.0,0.36920621386345537,-0.245555,-0.296,0.0,0.3576881064209432,0.5106
20200822-32013,0,0.9906,0.04774302325581395,0.0,0.0,0.2641027925059949,0.08951538461538461,0.0,0.0,0.32856751582531907,0.7443
20200710-13208,0,0.2598,-0.0030172413793103452,0.0,0.0,0.09295812950283516,-0.0011500000000000028,0.0,0.0,0.13312839667028217,0.0258
20200911-9784,1,-0.8126,-0.004750877192982453,0.0,0.0,0.2593785641042343,0.027823809523809525,0.0,0.0,0.24262594992284672,0.0
20200312-46460,1,-0.2391,0.09537894736842106,0.0,0.0,0.3969087162440136,0.10067777777777778,0.0258,0.0,0.40713030340496303,0.5106
20200702-8559,0,0.8873,0.036366666666666665,0.0,0.0,0.3062099987481358,0.08149999999999999,0.2732,0.296,0.3953682771106637,0.6142
20200806-32397,-1,-0.9518,-0.16809,0.0,0.0,0.25412975209526334,-0.18305294117647058,0.0,0.0,0.2938058404850288,0.0
20200919-19701,1,0.984,0.2014,0.0,0.0,0.2669343886165418,0.35102727272727274,0.3612,0.0,0.34111810029241696,1.1686
20200319-58763,-1,-0.936,-0.14052857142857142,-0.09525,0.0,0.2887443739181558,-0.12612173913043478,0.0,0.0,0.3432235840641564,0.5106
20200819-26799,1,0.8126,0.16976666666666668,0.1806,0.0,0.44800936994169616,0.14551428571428573,0.0,0.0,0.41900866826550576,0.5106
20200909-62026,0,0.9957,0.6181444444444445,0.7003,0.296,0.29985444287784074,0.6787833333333333,0.6948000000000001,0.296,0.2705297606343688,0.7899
20200418-54259,0,-0.8928,-0.0653782608695652,0.0,0.0,0.3016202247233975,-0.08962105263157893,0.0,0.0,0.2981200845631582,0.5106
20200409-77960,1,0.6023,0.028965625000000005,0.0,0.0,0.3176188592572226,0.016215625000000004,0.0,0.0,0.2893838271973045,0.5106
20200803-22569,1,0.9969,0.20198809523809524,0.0,0.0,0.32992200247243214,0.49336153846153846,0.6597,0.0,0.33848651953264763,0.6908
20200404-52512,-1,0.9039,-0.006497368421052631,0.0,0.0,0.3431858791160466,-0.0020666666666666667,0.0,0.0,0.42290901865005853,0.5106
